YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE_NAME,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,is_cancelled,is_delayed
2015,3,19,4,AA,1345,TUL,DFW,600,-6.0,237,713,-6.0,0,0,,,,,,,American Airlines Inc.,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824,False,False
2015,1,19,1,OO,2601,SAN,LAX,630,-6.0,109,721,0.0,0,0,,,,,,,Skywest Airlines Inc.,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,False,False
2015,1,23,5,WN,789,CMH,LAS,725,-3.0,1771,915,-25.0,0,0,,,,,,,Southwest Airlines Co.,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,False,False
2015,1,16,5,AA,1171,MIA,ORD,1316,-6.0,1197,1540,-11.0,0,0,,,,,,,American Airlines Inc.,Miami International Airport,Miami,FL,25.79325,-80.29056,False,False
2015,3,15,7,AS,81,SEA,ANC,600,58.0,1448,833,64.0,0,0,,6.0,0.0,58.0,0.0,0.0,Alaska Airlines Inc.,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,False,True
2015,1,10,6,WN,2796,LAX,MDW,1525,18.0,1750,2120,4.0,0,0,,,,,,,Southwest Airlines Co.,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,False,False
2015,1,7,3,AA,304,SLC,DFW,558,16.0,989,940,9.0,0,0,,,,,,,American Airlines Inc.,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,False,False
2015,3,25,3,WN,235,TUL,PHX,710,-5.0,935,755,-18.0,0,0,,,,,,,Southwest Airlines Co.,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824,False,False
2015,3,22,7,NK,250,MCO,MSP,1255,21.0,1310,1526,14.0,0,0,,,,,,,Spirit Air Lines,Orlando International Airport,Orlando,FL,28.42889,-81.31603,False,False
2015,3,19,4,DL,1370,ATL,DEN,1810,38.0,1199,1941,30.0,0,0,,0.0,0.0,5.0,25.0,0.0,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,True
2015,1,17,6,UA,733,DEN,SFO,1437,-1.0,967,1624,-24.0,0,0,,,,,,,United Air Lines Inc.,Denver International Airport,Denver,CO,39.85841,-104.667,False,False
2015,3,23,1,AA,296,SAT,DFW,1906,-12.0,247,2015,-9.0,0,0,,,,,,,American Airlines Inc.,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978,False,False
2015,1,4,7,DL,2410,SLC,LAX,1343,-4.0,590,1440,-23.0,0,0,,,,,,,Delta Air Lines Inc.,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,False,False
2015,3,11,3,WN,144,MCO,ATL,615,-3.0,404,745,-23.0,0,0,,,,,,,Southwest Airlines Co.,Orlando International Airport,Orlando,FL,28.42889,-81.31603,False,False
2015,1,24,6,WN,3602,IAD,MDW,1640,-3.0,577,1745,-19.0,0,0,,,,,,,Southwest Airlines Co.,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,False,False
2015,3,7,6,US,491,DFW,PHX,600,-3.0,868,737,-3.0,0,0,,,,,,,US Airways Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,3,18,3,OO,4509,SLC,BOI,1700,-13.0,290,1815,-24.0,0,0,,,,,,,Skywest Airlines Inc.,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,False,False
2015,3,27,5,NK,357,ORD,LAS,935,8.0,1514,1134,-10.0,0,0,,,,,,,Spirit Air Lines,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,False,False
2015,3,4,3,UA,338,DEN,DFW,2000,33.0,641,2300,25.0,0,0,,0.0,0.0,25.0,0.0,0.0,United Air Lines Inc.,Denver International Airport,Denver,CO,39.85841,-104.667,False,True
2015,2,26,4,UA,517,RSW,ORD,627,-10.0,1120,834,6.0,0,0,,,,,,,United Air Lines Inc.,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517,False,False
2015,1,16,5,AA,2287,BNA,DFW,730,-4.0,631,949,6.0,0,0,,,,,,,American Airlines Inc.,Nashville International Airport,Nashville,TN,36.12448,-86.67818,False,False
2015,2,15,7,AA,1302,DFW,RDU,1525,3.0,1061,1853,-6.0,0,0,,,,,,,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,2,15,7,AA,2206,DCA,MIA,2000,51.0,919,2244,44.0,0,0,,0.0,0.0,10.0,34.0,0.0,American Airlines Inc.,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,False,True
2015,1,28,3,WN,2700,SAN,SFO,2000,-3.0,447,2135,-21.0,0,0,,,,,,,Southwest Airlines Co.,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,False,False
2015,1,24,6,WN,4358,SNA,OAK,1355,-3.0,371,1515,-7.0,0,0,,,,,,,Southwest Airlines Co.,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,False,False
2015,3,12,4,MQ,3098,SGF,ORD,730,-5.0,438,920,10.0,0,0,,,,,,,American Eagle Airlines Inc.,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686,False,False
2015,1,17,6,US,2066,DTW,CLT,1015,-4.0,500,1211,-19.0,0,0,,,,,,,US Airways Inc.,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,False,False
2015,2,25,3,UA,307,EWR,MCO,2048,2.0,937,2344,-12.0,0,0,,,,,,,United Air Lines Inc.,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,False,False
2015,2,5,4,WN,411,LAS,HOU,1535,-1.0,1235,2030,-5.0,0,0,,,,,,,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,False,False
2015,2,21,6,OO,5487,IAH,ASE,1155,-2.0,913,1344,19.0,0,0,,19.0,0.0,0.0,0.0,0.0,Skywest Airlines Inc.,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,True
2015,3,31,2,WN,2769,DAY,BWI,600,-4.0,406,735,-25.0,0,0,,,,,,,Southwest Airlines Co.,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938,False,False
2015,1,28,3,WN,429,DEN,LAS,615,-6.0,628,715,-12.0,0,0,,,,,,,Southwest Airlines Co.,Denver International Airport,Denver,CO,39.85841,-104.667,False,False
2015,3,28,6,WN,1447,BWI,ALB,1235,12.0,289,1345,7.0,0,0,,,,,,,Southwest Airlines Co.,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,False,False
2015,3,20,5,UA,309,SFO,IAD,1050,6.0,2419,1854,-2.0,0,0,,,,,,,United Air Lines Inc.,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,False,False
2015,2,3,2,NK,680,IAH,MSY,1803,-16.0,305,1903,-13.0,0,0,,,,,,,Spirit Air Lines,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,False
2015,2,7,6,WN,3284,LAS,OAK,1655,39.0,407,1825,43.0,0,0,,4.0,0.0,6.0,33.0,0.0,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,False,True
2015,1,4,7,WN,454,DAL,OKC,1200,1.0,181,1250,-4.0,0,0,,,,,,,Southwest Airlines Co.,Dallas Love Field,Dallas,TX,32.84711,-96.85177,False,False
2015,2,21,6,DL,1686,SLC,DTW,940,0.0,1481,1506,-4.0,0,0,,,,,,,Delta Air Lines Inc.,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,False,False
2015,1,21,3,WN,943,TPA,HOU,1800,-5.0,781,1930,-9.0,0,0,,,,,,,Southwest Airlines Co.,Tampa International Airport,Tampa,FL,27.97547,-82.53325,False,False
2015,3,8,7,AA,2427,MIA,DFW,1830,108.0,1121,2052,90.0,0,0,,0.0,0.0,0.0,90.0,0.0,American Airlines Inc.,Miami International Airport,Miami,FL,25.79325,-80.29056,False,True
2015,1,7,3,UA,1528,SEA,ORD,856,0.0,1721,1448,-8.0,0,0,,,,,,,United Air Lines Inc.,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,False,False
2015,3,4,3,WN,2868,FLL,ALB,1115,0.0,1204,1420,-4.0,0,0,,,,,,,Southwest Airlines Co.,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,False,False
2015,3,3,2,WN,4922,RDU,LAS,600,8.0,2026,825,22.0,0,0,,14.0,0.0,8.0,0.0,0.0,Southwest Airlines Co.,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,False,True
2015,2,3,2,F9,625,DTW,DEN,1940,10.0,1123,2050,10.0,0,0,,,,,,,Frontier Airlines Inc.,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,False,False
2015,1,25,7,DL,1361,ATL,CHA,2255,-3.0,106,2341,-5.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,1,30,5,EV,4588,GPT,IAH,635,-8.0,376,805,-1.0,0,0,,,,,,,Atlantic Southeast Airlines,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009,False,False
2015,1,7,3,DL,1296,ATL,PIT,1935,-5.0,526,2119,-4.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,2,23,1,OO,6259,DEN,COS,2159,32.0,73,2240,23.0,0,0,,0.0,0.0,23.0,0.0,0.0,Skywest Airlines Inc.,Denver International Airport,Denver,CO,39.85841,-104.667,False,True
2015,2,13,5,WN,4749,LAS,FLL,905,-1.0,2173,1640,-5.0,0,0,,,,,,,Southwest Airlines Co.,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,False,False
2015,1,11,7,AS,500,SEA,SNA,1215,-6.0,978,1506,-26.0,0,0,,,,,,,Alaska Airlines Inc.,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,False,False
2015,1,26,1,US,663,PHX,KOA,1130,-6.0,2860,1513,-33.0,0,0,,,,,,,US Airways Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,False,False
2015,3,29,7,US,1726,CLT,ATL,1135,-3.0,226,1251,6.0,0,0,,,,,,,US Airways Inc.,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,False,False
2015,3,21,6,DL,2167,ALB,DTW,600,12.0,489,750,1.0,0,0,,,,,,,Delta Air Lines Inc.,Albany International Airport,Albany,NY,42.74812,-73.80298,False,False
2015,1,15,4,WN,111,SJC,BUR,2055,24.0,296,2155,24.0,0,0,,0.0,0.0,0.0,24.0,0.0,Southwest Airlines Co.,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,False,True
2015,3,24,2,B6,1479,DCA,FLL,1324,-7.0,899,1603,-29.0,0,0,,,,,,,JetBlue Airways,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,False,False
2015,1,14,3,AA,2257,PHX,DFW,1750,-10.0,868,2102,-3.0,0,0,,,,,,,American Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,False,False
2015,3,20,5,DL,2520,MSP,DTW,1419,-2.0,528,1655,-11.0,0,0,,,,,,,Delta Air Lines Inc.,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,False,False
2015,3,26,4,AS,661,DFW,SEA,1340,-2.0,1660,1557,-37.0,0,0,,,,,,,Alaska Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,1,18,7,UA,536,SFO,LAS,1140,6.0,414,1319,10.0,0,0,,,,,,,United Air Lines Inc.,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,False,False
2015,2,15,7,WN,1341,SNA,OAK,1955,-4.0,371,2115,-14.0,0,0,,,,,,,Southwest Airlines Co.,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,False,False
2015,2,21,6,OO,4513,TUS,SLC,1230,-10.0,601,1425,-4.0,0,0,,,,,,,Skywest Airlines Inc.,Tucson International Airport,Tucson,AZ,32.11608,-110.94103,False,False
2015,3,19,4,WN,529,DEN,DAL,1425,2.0,651,1715,-2.0,0,0,,,,,,,Southwest Airlines Co.,Denver International Airport,Denver,CO,39.85841,-104.667,False,False
2015,2,12,4,EV,5664,IAH,BTR,740,-6.0,253,843,10.0,0,0,,,,,,,Atlantic Southeast Airlines,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,False
2015,3,30,1,US,1997,RSW,PHL,1400,20.0,993,1644,16.0,0,0,,0.0,0.0,16.0,0.0,0.0,US Airways Inc.,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517,False,True
2015,3,17,2,WN,429,IND,MCO,905,0.0,829,1120,-5.0,0,0,,,,,,,Southwest Airlines Co.,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438,False,False
2015,1,27,2,WN,700,TPA,BWI,1915,-7.0,842,2125,12.0,0,0,,,,,,,Southwest Airlines Co.,Tampa International Airport,Tampa,FL,27.97547,-82.53325,False,False
2015,1,10,6,AA,936,SAN,ORD,1210,-5.0,1723,1809,-6.0,0,0,,,,,,,American Airlines Inc.,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,False,False
2015,3,30,1,HA,214,LIH,HNL,1828,-9.0,102,1901,-12.0,0,0,,,,,,,Hawaiian Airlines Inc.,Lihue Airport,Lihue,HI,21.97598,-159.33896,False,False
2015,1,8,4,EV,4630,TYR,IAH,1337,-4.0,163,1440,-11.0,0,0,,,,,,,Atlantic Southeast Airlines,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239,False,False
2015,1,7,3,US,833,CLT,STT,1145,-4.0,1520,1618,4.0,0,0,,,,,,,US Airways Inc.,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,False,False
2015,2,5,4,WN,3493,ATL,OKC,2040,-4.0,761,2220,-27.0,0,0,,,,,,,Southwest Airlines Co.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,3,12,4,WN,508,DAL,STL,1320,9.0,546,1455,4.0,0,0,,,,,,,Southwest Airlines Co.,Dallas Love Field,Dallas,TX,32.84711,-96.85177,False,False
2015,3,11,3,WN,2320,ATL,DEN,1345,4.0,1199,1510,-18.0,0,0,,,,,,,Southwest Airlines Co.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,2,22,7,WN,500,MDW,DTW,2140,-4.0,228,2350,-24.0,0,0,,,,,,,Southwest Airlines Co.,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,False,False
2015,3,27,5,WN,311,BUR,SJC,1040,-1.0,296,1145,-4.0,0,0,,,,,,,Southwest Airlines Co.,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,False,False
2015,3,27,5,US,480,PHX,IAH,858,-5.0,1009,1339,-4.0,0,0,,,,,,,US Airways Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,False,False
2015,3,20,5,DL,1391,ATL,HOU,1050,7.0,696,1205,6.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,2,23,1,DL,2635,MYR,ATL,1138,19.0,317,1304,5.0,0,0,,,,,,,Delta Air Lines Inc.,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833,False,False
2015,2,8,7,US,738,BOS,PHL,1730,20.0,280,1915,41.0,0,0,,21.0,0.0,0.0,0.0,20.0,US Airways Inc.,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,False,True
2015,2,21,6,WN,3370,MCI,DEN,710,-8.0,533,805,1.0,0,0,,,,,,,Southwest Airlines Co.,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391,False,False
2015,1,16,5,US,763,CLT,DCA,1640,-3.0,331,1802,-15.0,0,0,,,,,,,US Airways Inc.,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,False,False
2015,2,19,4,AA,1165,BOS,JFK,605,-4.0,187,722,5.0,0,0,,,,,,,American Airlines Inc.,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,False,False
2015,2,26,4,HA,165,OGG,HNL,1705,15.0,100,1740,17.0,0,0,,0.0,0.0,2.0,15.0,0.0,Hawaiian Airlines Inc.,Kahului Airport,Kahului,HI,20.89865,-156.43046,False,True
2015,3,20,5,US,455,PHX,SLC,729,-6.0,507,1009,1.0,0,0,,,,,,,US Airways Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,False,False
2015,2,28,6,EV,3937,IAH,MLU,1340,-10.0,262,1443,-19.0,0,0,,,,,,,Atlantic Southeast Airlines,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,False
2015,2,6,5,WN,1517,SAN,PHX,1240,-1.0,304,1450,-10.0,0,0,,,,,,,Southwest Airlines Co.,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,False,False
2015,2,7,6,MQ,3493,MIA,BHM,1400,1.0,661,1505,-9.0,0,0,,,,,,,American Eagle Airlines Inc.,Miami International Airport,Miami,FL,25.79325,-80.29056,False,False
2015,3,9,1,F9,238,DEN,BNA,835,-5.0,1014,1159,-8.0,0,0,,,,,,,Frontier Airlines Inc.,Denver International Airport,Denver,CO,39.85841,-104.667,False,False
2015,1,24,6,MQ,3054,CVG,JFK,1250,-9.0,589,1451,-4.0,0,0,,,,,,,American Eagle Airlines Inc.,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217,False,False
2015,2,18,3,NK,940,DFW,ORD,616,4.0,802,835,6.0,0,0,,,,,,,Spirit Air Lines,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,2,27,5,DL,1276,CMH,ATL,1220,-5.0,447,1409,2.0,0,0,,,,,,,Delta Air Lines Inc.,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,False,False
2015,1,14,3,DL,2544,DFW,MSP,645,8.0,852,910,-3.0,0,0,,,,,,,Delta Air Lines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,False,False
2015,1,21,3,DL,582,DTW,BOS,2008,-4.0,632,2209,19.0,0,0,,19.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,False,True
2015,1,15,4,AA,55,ORD,LAS,1845,4.0,1514,2041,-7.0,0,0,,,,,,,American Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,False,False
2015,1,10,6,B6,1015,JAX,FLL,700,-2.0,319,812,-3.0,0,0,,,,,,,JetBlue Airways,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786,False,False
2015,2,19,4,EV,5440,BTR,ATL,1719,2.0,448,1949,4.0,0,0,,,,,,,Atlantic Southeast Airlines,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963,False,False
2015,1,2,5,UA,1001,EWR,RSW,1334,13.0,1068,1644,-6.0,0,0,,,,,,,United Air Lines Inc.,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,False,False
2015,1,12,1,OO,4649,SLC,BZN,1615,-1.0,347,1739,-8.0,0,0,,,,,,,Skywest Airlines Inc.,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,False,False
2015,1,17,6,EV,3272,IAH,MOB,1326,-9.0,427,1447,-18.0,0,0,,,,,,,Atlantic Southeast Airlines,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,False
2015,3,30,1,US,604,DEN,PHX,1217,-5.0,602,1305,-6.0,0,0,,,,,,,US Airways Inc.,Denver International Airport,Denver,CO,39.85841,-104.667,False,False
2015,1,3,6,WN,492,DEN,SLC,1155,17.0,391,1325,30.0,0,0,,13.0,0.0,8.0,9.0,0.0,Southwest Airlines Co.,Denver International Airport,Denver,CO,39.85841,-104.667,False,True
2015,3,31,2,UA,1434,IAD,IAH,545,18.0,1190,818,-8.0,0,0,,,,,,,United Air Lines Inc.,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,False,False
2015,3,9,1,NK,906,IAH,DTW,1910,39.0,1075,2243,33.0,0,0,,28.0,0.0,5.0,0.0,0.0,Spirit Air Lines,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,True
2015,2,17,2,EV,2557,BRO,DFW,1258,452.0,482,1435,500.0,0,0,,48.0,0.0,452.0,0.0,0.0,Atlantic Southeast Airlines,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586,False,True
2015,2,12,4,AA,35,DCA,DFW,1600,-3.0,1192,1835,-10.0,0,0,,,,,,,American Airlines Inc.,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,False,False
2015,2,28,6,DL,1745,SMF,MSP,5,-4.0,1517,527,-21.0,0,0,,,,,,,Delta Air Lines Inc.,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,False,False
2015,1,8,4,MQ,3641,DSM,DFW,921,82.0,624,1125,69.0,0,0,,0.0,0.0,3.0,66.0,0.0,American Eagle Airlines Inc.,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068,False,True
2015,3,22,7,OO,2881,SMF,LAX,1215,10.0,373,1347,37.0,0,0,,37.0,0.0,0.0,0.0,0.0,Skywest Airlines Inc.,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,False,True
2015,3,9,1,WN,747,PHX,LAS,1520,3.0,255,1620,-1.0,0,0,,,,,,,Southwest Airlines Co.,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,False,False
2015,3,8,7,AA,1324,MIA,ORD,1650,81.0,1197,1919,58.0,0,0,,0.0,0.0,38.0,20.0,0.0,American Airlines Inc.,Miami International Airport,Miami,FL,25.79325,-80.29056,False,True
2015,3,25,3,DL,1898,ATL,IND,2156,-2.0,432,2333,-16.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,False,False
2015,2,20,5,DL,1988,DTW,SFO,2000,-3.0,2079,2223,-17.0,0,0,,,,,,,Delta Air Lines Inc.,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,False,False
2015,1,23,5,AA,989,LAS,MIA,1500,-3.0,2174,2228,-1.0,0,0,,,,,,,American Airlines Inc.,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,False,False
2015,1,29,4,HA,183,HNL,LIH,1546,14.0,102,1624,14.0,0,0,,,,,,,Hawaiian Airlines Inc.,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,False,False
2015,1,28,3,WN,490,SJC,BUR,840,-8.0,296,940,-7.0,0,0,,,,,,,Southwest Airlines Co.,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,False,False
2015,2,8,7,AA,1217,MSY,DFW,820,466.0,447,1003,450.0,0,0,,0.0,0.0,450.0,0.0,0.0,American Airlines Inc.,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803,False,True
2015,3,2,1,B6,749,DCA,TPA,1940,0.0,814,2205,-7.0,0,0,,,,,,,JetBlue Airways,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,False,False
2015,1,23,5,WN,3404,MSY,MCO,820,-5.0,551,1100,3.0,0,0,,,,,,,Southwest Airlines Co.,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803,False,False
2015,1,8,4,UA,1029,IAH,EWR,604,-1.0,1400,1030,2.0,0,0,,,,,,,United Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,False,False
2015,2,19,4,VX,730,DAL,DCA,710,-9.0,1184,1045,-5.0,0,0,,,,,,,Virgin America,Dallas Love Field,Dallas,TX,32.84711,-96.85177,False,False
